Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds,Team 1 line,Team 2 line
2024-04-19,10:10 PM EDT,NYM,LAD,-115,-105,4.5,4.5
2024-04-19,10:15 PM EDT,AZ,SF,-105,-115,4,4
2024-04-20,1:05 PM EDT,TB,NYY,-120,-110,1.5,1.5
2024-04-20,2:10 PM EDT,DET,MIN,+100,-130,4,4
2024-04-20,2:15 PM EDT,MIL,STL,-115,-115,4.5,4.5
2024-04-20,2:20 PM EDT,MIA,CHC,+100,-130,4.5,4.5
2024-04-20,4:05 PM EDT,AZ,SF,-115,-105,4,4
2024-04-20,4:05 PM EDT,HOU,WAS,-120,+100,5,5
2024-04-20,4:05 PM EDT,NYM,LAD,-125,-105,5,5
2024-04-20,4:05 PM EDT,BOS,PIT,-125,-105,4,4
2024-04-20,6:05 PM EDT,CHW,PHI,-130,+100,4,4
2024-04-20,6:10 PM EDT,ATH,CLE,-115,-115,4,4
2024-04-20,6:40 PM EDT,LAA,CIN,-105,-115,5,5
2024-04-20,7:10 PM EDT,BAL,KC,-115,-105,3.5,3.5
2024-04-20,7:20 PM EDT,TEX,ATL,-130,+100,4.5,4.5
2024-04-20,7:40 PM EDT,MIA,CHC,-115,-115,4.5,4.5
2024-04-20,8:10 PM EDT,SEA,COL,-125,-105,5,5
2024-04-20,8:40 PM EDT,TOR,SD,-115,-115,4,4
2024-04-21,1:35 PM EDT,BOS,PIT,+100,-130,4.5,4.5
2024-04-21,1:35 PM EDT,HOU,WAS,+100,-130,5,5
2024-04-21,1:35 PM EDT,TB,NYY,+100,-130,4.5,4.5
2024-04-21,1:35 PM EDT,CHW,PHI,-130,+100,4,4
2024-04-21,1:40 PM EDT,LAA,CIN,+100,-130,5,5
2024-04-21,1:40 PM EDT,ATH,CLE,-125,-105,4,4
2024-04-21,2:10 PM EDT,BAL,KC,+100,-130,5,5
2024-04-21,2:10 PM EDT,DET,MIN,+100,-130,4.5,4.5
2024-04-21,2:15 PM EDT,MIL,STL,-115,-115,4,4
2024-04-21,2:20 PM EDT,MIA,CHC,-105,-125,4.5,4.5
2024-04-21,3:10 PM EDT,SEA,COL,+100,-130,5.5,5.5
2024-04-21,4:05 PM EDT,AZ,SF,-125,-105,4,4
2024-04-21,4:10 PM EDT,TOR,SD,-130,+100,4,4
2024-04-21,4:10 PM EDT,NYM,LAD,-105,-125,5,5
2024-04-21,7:10 PM EDT,TEX,ATL,-135,+105,5.5,5.5
2024-04-21,8:10 PM EDT,SEA,COL,-145,+115,9.5,9.5
2024-04-22,1:05 PM EDT,ATH,NYY,+135,-169,1.5,1.5
2024-04-22,6:40 PM EDT,PHI,CIN,-120,-110,3.5,3.5
2024-04-22,6:40 PM EDT,MIL,PIT,-105,-125,3.5,3.5
2024-04-22,6:50 PM EDT,DET,TB,-141,+110,3.5,3.5
2024-04-22,7:20 PM EDT,MIA,ATL,-125,-105,5,5
2024-04-22,7:40 PM EDT,CHW,MIN,-125,-105,4.5,4.5
2024-04-22,7:40 PM EDT,TOR,KC,-130,+100,4.5,4.5
2024-04-22,7:45 PM EDT,AZ,STL,-130,+100,4.5,4.5
2024-04-22,8:40 PM EDT,SD,COL,-130,+100,5,5
2024-04-22,9:38 PM EDT,BAL,LAA,+100,-130,4.5,4.5
2024-04-22,9:45 PM EDT,NYM,SF,-125,-105,4.5,4.5
2024-04-23,6:10 PM EDT,BOS,CLE,-105,-125,2.5,2.5
2024-04-23,6:40 PM EDT,PHI,CIN,-130,+100,4.5,4.5
2024-04-23,6:40 PM EDT,MIL,PIT,-115,-115,4.5,4.5
2024-04-23,6:45 PM EDT,LAD,WAS,+100,-130,5.5,5.5
2024-04-23,6:50 PM EDT,DET,TB,-105,-125,4.5,4.5
2024-04-23,7:05 PM EDT,ATH,NYY,+100,-130,4.5,4.5
2024-04-23,7:20 PM EDT,MIA,ATL,-125,-105,4.5,4.5
2024-04-23,7:40 PM EDT,HOU,CHC,-130,+100,5.5,5.5
2024-04-23,7:40 PM EDT,TOR,KC,-105,-125,4.5,4.5
2024-04-23,7:40 PM EDT,CHW,MIN,+100,-130,3.5,3.5
2024-04-23,7:45 PM EDT,AZ,STL,-141,+110,4.5,4.5
2024-04-23,8:05 PM EDT,SEA,TEX,+100,-130,5,5
2024-04-23,8:40 PM EDT,SD,COL,-130,+100,4.5,4.5
2024-04-23,9:38 PM EDT,BAL,LAA,-115,-115,4.5,4.5
2024-04-23,9:45 PM EDT,NYM,SF,-105,-125,3.5,3.5
2024-04-25,12:35 PM EDT,MIL,PIT,-169,+135,6.5,6.5
2024-04-25,1:10 PM EDT,CHW,MIN,-110,-120,3.5,3.5
2024-04-25,1:10 PM EDT,PHI,CIN,+165,-208,6.5,6.5
2024-04-25,1:10 PM EDT,BOS,CLE,-110,-120,3.5,3.5
2024-04-25,2:10 PM EDT,TOR,KC,+115,-145,4,4
2024-04-25,2:20 PM EDT,HOU,CHC,+100,-130,4,4
2024-04-25,2:35 PM EDT,SEA,TEX,-130,+100,4.5,4.5
2024-04-25,3:10 PM EDT,SD,COL,+100,-130,6,6
2024-04-25,4:05 PM EDT,LAD,WAS,+100,-130,4,4
2024-04-25,7:05 PM EDT,ATH,NYY,+115,-145,5.5,5.5
2024-04-26,1:10 PM EDT,KC,DET,+125,-161,2.5,2.5
2024-04-26,7:05 PM EDT,ATH,BAL,-105,-125,4,4
2024-04-26,7:07 PM EDT,LAD,TOR,-105,-125,5,5
2024-04-26,7:10 PM EDT,CHC,BOS,+105,-135,4,4
2024-04-26,7:10 PM EDT,STL,NYM,-130,+100,4,4
2024-04-26,7:10 PM EDT,WAS,MIA,+100,-130,4.5,4.5
2024-04-26,7:20 PM EDT,CLE,ATL,-125,-105,4.5,4.5
2024-04-26,7:40 PM EDT,TB,CHW,-115,-115,4,4
2024-04-26,8:05 PM EDT,CIN,TEX,-115,-115,4.5,4.5
2024-04-26,8:10 PM EDT,NYY,MIL,-105,-125,4.5,4.5
2024-04-26,9:38 PM EDT,MIN,LAA,+100,-130,4.5,4.5
2024-04-26,9:40 PM EDT,PHI,SD,+100,-130,4,4
2024-04-26,9:40 PM EDT,AZ,SEA,-130,+100,4,4
2024-04-26,10:15 PM EDT,PIT,SF,-105,-125,4.5,4.5
2024-04-27,3:07 PM EDT,LAD,TOR,-105,-125,4.5,4.5
2024-04-27,4:05 PM EDT,ATH,BAL,-125,-105,4.5,4.5
2024-04-27,4:05 PM EDT,STL,NYM,-125,-105,4,4
2024-04-27,4:05 PM EDT,CIN,TEX,-120,-110,4.5,4.5
2024-04-27,4:10 PM EDT,CHC,BOS,+100,-130,5,5
2024-04-27,4:10 PM EDT,WAS,MIA,-105,-125,4,4
2024-04-27,6:05 PM EDT,HOU,COL,-115,-115,8.5,8.5
2024-04-27,6:10 PM EDT,KC,DET,+100,-130,4.5,4.5
2024-04-27,7:10 PM EDT,NYY,MIL,-115,-115,4.5,4.5
2024-04-27,7:10 PM EDT,TB,CHW,-130,+100,4.5,4.5
2024-04-27,7:20 PM EDT,CLE,ATL,-130,+100,4.5,4.5
2024-04-27,8:40 PM EDT,PHI,SD,+100,-130,4,4
2024-04-27,9:05 PM EDT,PIT,SF,-125,-105,4,4
2024-04-27,9:38 PM EDT,MIN,LAA,-125,-105,4.5,4.5
2024-04-27,9:40 PM EDT,AZ,SEA,-105,-115,4,4
2024-04-28,1:35 PM EDT,ATH,BAL,-115,-115,4.5,4.5
2024-04-28,1:35 PM EDT,CLE,ATL,-115,-115,4.5,4.5
2024-04-28,1:37 PM EDT,LAD,TOR,+100,-130,4.5,4.5
2024-04-28,1:40 PM EDT,WAS,MIA,+100,-130,4.5,4.5
2024-04-28,1:40 PM EDT,KC,DET,+100,-130,4,4
2024-04-28,1:40 PM EDT,STL,NYM,+100,-130,4.5,4.5
2024-04-28,2:10 PM EDT,NYY,MIL,-115,-115,4.5,4.5
2024-04-28,2:10 PM EDT,TB,CHW,-125,-105,4,4
2024-04-28,2:35 PM EDT,CIN,TEX,-130,+100,4.5,4.5
2024-04-28,4:05 PM EDT,HOU,COL,-115,-115,8.5,8.5
2024-04-28,4:05 PM EDT,PIT,SF,+100,-130,4,4
2024-04-28,4:07 PM EDT,MIN,LAA,-105,-125,4,4
2024-04-28,4:10 PM EDT,PHI,SD,-130,+100,4.5,4.5
2024-04-28,4:10 PM EDT,AZ,SEA,+105,-135,3.5,3.5
2024-04-28,7:10 PM EDT,CHC,BOS,+115,-145,3.5,3.5
2024-04-29,6:35 PM EDT,NYY,BAL,-141,+110,3.5,3.5
2024-04-29,6:40 PM EDT,WAS,MIA,+105,-135,2.5,2.5
2024-04-29,7:07 PM EDT,KC,TOR,-125,-105,4.5,4.5
2024-04-29,7:10 PM EDT,CHC,NYM,-105,-125,4,4
2024-04-29,7:40 PM EDT,MIN,CHW,-125,-105,3.5,3.5
2024-04-29,7:40 PM EDT,TB,MIL,+100,-130,4.5,4.5
2024-04-29,9:38 PM EDT,PHI,LAA,-105,-125,5,5
2024-04-29,9:40 PM EDT,CIN,SD,-105,-125,4.5,4.5
2024-04-29,9:40 PM EDT,ATL,SEA,-105,-125,4,4
2024-04-29,9:40 PM EDT,PIT,ATH,-130,+100,4,4
2024-04-29,9:40 PM EDT,LAD,AZ,-105,-125,5.5,5.5
2024-04-30,3:40 PM EDT,STL,DET,+125,-161,1.5,1.5
2024-04-30,6:35 PM EDT,NYY,BAL,-105,-125,3.5,3.5
2024-04-30,6:40 PM EDT,COL,MIA,-141,+110,5.5,5.5
2024-04-30,6:40 PM EDT,STL,DET,-125,-105,4.5,4.5
2024-04-30,7:07 PM EDT,KC,TOR,-110,-120,4,4
2024-04-30,7:10 PM EDT,CHC,NYM,+100,-130,4,4
2024-04-30,7:10 PM EDT,SF,BOS,-130,+100,4,4
2024-04-30,7:40 PM EDT,TB,MIL,-125,-105,4,4
2024-04-30,7:40 PM EDT,MIN,CHW,-115,-115,5,5
2024-04-30,8:05 PM EDT,WAS,TEX,+100,-130,4.5,4.5
2024-04-30,8:10 PM EDT,CLE,HOU,-105,-125,5,5
2024-04-30,9:38 PM EDT,PHI,LAA,-105,-125,4.5,4.5
2024-04-30,9:40 PM EDT,CIN,SD,-105,-125,4,4
2024-04-30,9:40 PM EDT,ATL,SEA,-130,+100,3.5,3.5
2024-04-30,9:40 PM EDT,PIT,ATH,-115,-115,4,4
